# Sine sweep: each joint follows q = offset + A*sin(2*pi*t/T) * ramp(t).
# Units: radians. Generated by scripts/make_example_trajectories.py.
t,j1,j2,j3,j4,j5,j6
7.630,-0.007208,-0.001768,0.006412,-0.024519,-0.010854,-0.041636
7.640,-0.006647,-0.001491,0.006308,-0.022775,-0.010022,-0.039217
7.650,-0.006115,-0.001234,0.006190,-0.021102,-0.009217,-0.036823
7.660,-0.005611,-0.000998,0.006058,-0.019501,-0.008441,-0.034463
7.670,-0.005136,-0.000782,0.005913,-0.017972,-0.007694,-0.032146
7.680,-0.004688,-0.000585,0.005756,-0.016514,-0.006980,-0.029879
7.690,-0.004266,-0.000406,0.005587,-0.015127,-0.006298,-0.027671
7.700,-0.003870,-0.000246,0.005407,-0.013812,-0.005651,-0.025527
7.710,-0.003499,-0.000103,0.005218,-0.012567,-0.005038,-0.023454
7.720,-0.003152,0.000024,0.005019,-0.011392,-0.004462,-0.021458
7.730,-0.002829,0.000134,0.004812,-0.010286,-0.003921,-0.019544
7.740,-0.002528,0.000229,0.004598,-0.009248,-0.003418,-0.017715
7.750,-0.002249,0.000309,0.004377,-0.008277,-0.002950,-0.015976
7.760,-0.001991,0.000375,0.004151,-0.007372,-0.002520,-0.014330
7.770,-0.001754,0.000428,0.003920,-0.006532,-0.002126,-0.012778
7.780,-0.001536,0.000468,0.003686,-0.005754,-0.001768,-0.011323
7.790,-0.001337,0.000497,0.003450,-0.005037,-0.001445,-0.009965
7.800,-0.001156,0.000515,0.003213,-0.004380,-0.001156,-0.008706
7.810,-0.000991,0.000523,0.002975,-0.003780,-0.000901,-0.007544
7.820,-0.000843,0.000522,0.002738,-0.003235,-0.000678,-0.006479
7.830,-0.000711,0.000513,0.002503,-0.002744,-0.000485,-0.005510
7.840,-0.000593,0.000496,0.002272,-0.002303,-0.000322,-0.004635
7.850,-0.000489,0.000473,0.002044,-0.001911,-0.000187,-0.003851
7.860,-0.000398,0.000445,0.001823,-0.001566,-0.000078,-0.003155
7.870,-0.000318,0.000412,0.001608,-0.001264,0.000007,-0.002545
7.880,-0.000251,0.000375,0.001401,-0.001002,0.000071,-0.002015
7.890,-0.000193,0.000335,0.001203,-0.000779,0.000114,-0.001561
7.900,-0.000145,0.000294,0.001016,-0.000592,0.000140,-0.001180
7.910,-0.000106,0.000251,0.000841,-0.000437,0.000151,-0.000864
7.920,-0.000074,0.000209,0.000678,-0.000311,0.000149,-0.000610
7.930,-0.000050,0.000169,0.000530,-0.000212,0.000137,-0.000410
7.940,-0.000031,0.000130,0.000397,-0.000137,0.000118,-0.000259
7.950,-0.000018,0.000094,0.000281,-0.000081,0.000094,-0.000150
7.960,-0.000009,0.000063,0.000183,-0.000043,0.000068,-0.000077
7.970,-0.000004,0.000037,0.000105,-0.000020,0.000042,-0.000033
7.980,-0.000001,0.000017,0.000048,-0.000007,0.000021,-0.000010
7.990,-0.000000,0.000004,0.000012,-0.000001,0.000006,-0.000001
8.000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
